,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation1,param_batch_size,param_dropout1,param_epochs,param_input_dim,param_loss,param_optimizer,param_units1,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
740,233.57998876571656,10.047395290454775,0.3937636613845825,0.10913064471541802,elu,128,0.15,5000,954,categorical_crossentropy,adam,500,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.15, 'epochs': 5000, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 500}",0.7571428418159485,0.6857143044471741,0.7428571581840515,0.7285714149475098,0.7571428418159485,0.7428571581840515,0.6714285612106323,0.7285714149475098,0.6857143044471741,0.7142857313156128,0.7214285731315613,0.029450749099236923,231
741,298.5885117292404,49.28557770681613,0.3886577844619751,0.05872213293620868,elu,128,0.15,5000,954,categorical_crossentropy,adam,750,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.15, 'epochs': 5000, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 750}",0.7142857313156128,0.7285714149475098,0.7285714149475098,0.7285714149475098,0.7285714149475098,0.7285714149475098,0.6857143044471741,0.7285714149475098,0.7428571581840515,0.7285714149475098,0.7242857098579407,0.014356958089865163,213
742,405.53381609916687,13.499742628445961,0.3732717275619507,0.09668973334039134,elu,128,0.15,5000,954,categorical_crossentropy,adam,1000,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.15, 'epochs': 5000, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 1000}",0.699999988079071,0.7285714149475098,0.7428571581840515,0.7142857313156128,0.7142857313156128,0.7428571581840515,0.7142857313156128,0.7285714149475098,0.7714285850524902,0.7142857313156128,0.7271428644657135,0.019639612635891684,166
743,530.4866171360015,21.796063747590036,0.4271576404571533,0.09456334623478566,elu,128,0.15,5000,954,categorical_crossentropy,adam,1500,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.15, 'epochs': 5000, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 1500}",0.7571428418159485,0.7142857313156128,0.7142857313156128,0.7714285850524902,0.7714285850524902,0.7428571581840515,0.7142857313156128,0.6714285612106323,0.699999988079071,0.7285714149475098,0.7285714328289032,0.030639447431236196,151
744,11.99115080833435,2.8742365415360416,0.3396382570266724,0.08987393272731291,elu,128,0.2,500,954,categorical_crossentropy,adam,100,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.2, 'epochs': 500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 100}",0.699999988079071,0.699999988079071,0.7142857313156128,0.6714285612106323,0.7571428418159485,0.6714285612106323,0.6714285612106323,0.699999988079071,0.6142857074737549,0.6285714507102966,0.6828571379184722,0.039279216167016455,896
745,18.202282094955443,1.4260609000435602,0.345780611038208,0.06536822547278462,elu,128,0.2,500,954,categorical_crossentropy,adam,250,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.2, 'epochs': 500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 250}",0.6428571343421936,0.6571428775787354,0.699999988079071,0.7428571581840515,0.699999988079071,0.6571428775787354,0.6142857074737549,0.7285714149475098,0.6857143044471741,0.6571428775787354,0.6785714328289032,0.03793119272134276,928
746,23.800824141502382,3.5967301141667174,0.3279296636581421,0.03937187982685988,elu,128,0.2,500,954,categorical_crossentropy,adam,500,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.2, 'epochs': 500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 500}",0.6428571343421936,0.7142857313156128,0.7428571581840515,0.6714285612106323,0.7285714149475098,0.6714285612106323,0.699999988079071,0.6857143044471741,0.6714285612106323,0.6142857074737549,0.6842857122421264,0.03695005407484229,869
747,32.17187330722809,3.9433509973726397,0.37987408638000486,0.1280703880095847,elu,128,0.2,500,954,categorical_crossentropy,adam,750,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.2, 'epochs': 500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 750}",0.699999988079071,0.6571428775787354,0.7285714149475098,0.6285714507102966,0.7571428418159485,0.6857143044471741,0.7428571581840515,0.7285714149475098,0.6857143044471741,0.6714285612106323,0.6985714316368103,0.038571419097761316,620
748,38.56596791744232,7.678893327016247,0.41319808959960935,0.07082663265348707,elu,128,0.2,500,954,categorical_crossentropy,adam,1000,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.2, 'epochs': 500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 1000}",0.6714285612106323,0.699999988079071,0.7428571581840515,0.7428571581840515,0.699999988079071,0.7142857313156128,0.6714285612106323,0.699999988079071,0.6571428775787354,0.6714285612106323,0.6971428573131562,0.028428217982900537,660
749,53.62584865093231,7.247332161415985,0.4425265550613403,0.15921493542069204,elu,128,0.2,500,954,categorical_crossentropy,adam,1500,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.2, 'epochs': 500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 1500}",0.7142857313156128,0.6285714507102966,0.7285714149475098,0.6428571343421936,0.7285714149475098,0.6571428775787354,0.6714285612106323,0.5857142806053162,0.6571428775787354,0.6571428775787354,0.6671428620815277,0.043354255672838904,1045
750,38.00943620204926,6.299250507350162,0.40789036750793456,0.09469550541605362,elu,128,0.2,1500,954,categorical_crossentropy,adam,100,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.2, 'epochs': 1500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 100}",0.6857143044471741,0.6571428775787354,0.7714285850524902,0.699999988079071,0.7428571581840515,0.7285714149475098,0.7142857313156128,0.7142857313156128,0.6714285612106323,0.6571428775787354,0.7042857229709625,0.03559981550978476,494
751,49.43336489200592,6.96092432744724,0.40682034492492675,0.13513859867638808,elu,128,0.2,1500,954,categorical_crossentropy,adam,250,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.2, 'epochs': 1500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 250}",0.7142857313156128,0.6428571343421936,0.7571428418159485,0.7142857313156128,0.7571428418159485,0.7428571581840515,0.7428571581840515,0.7428571581840515,0.7428571581840515,0.6285714507102966,0.7185714364051818,0.0438224591484784,272
752,74.79858717918395,4.375687711952306,0.36644678115844725,0.0508384822644998,elu,128,0.2,1500,954,categorical_crossentropy,adam,500,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.2, 'epochs': 1500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 500}",0.6857143044471741,0.699999988079071,0.7714285850524902,0.7428571581840515,0.7285714149475098,0.7571428418159485,0.7285714149475098,0.7571428418159485,0.6857143044471741,0.6857143044471741,0.7242857158184052,0.03133101080428962,204
753,92.09471261501312,9.476516957955196,0.3247437238693237,0.07043831584852797,elu,128,0.2,1500,954,categorical_crossentropy,adam,750,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.2, 'epochs': 1500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 750}",0.7142857313156128,0.6714285612106323,0.8142856955528259,0.7714285850524902,0.7714285850524902,0.800000011920929,0.6857143044471741,0.7428571581840515,0.7142857313156128,0.6571428775787354,0.7342857241630554,0.05158705332129375,106
754,118.44091229438781,3.5210974565075497,0.40547258853912355,0.14458817600964982,elu,128,0.2,1500,954,categorical_crossentropy,adam,1000,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.2, 'epochs': 1500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 1000}",0.6857143044471741,0.699999988079071,0.7571428418159485,0.7428571581840515,0.7714285850524902,0.7285714149475098,0.699999988079071,0.7285714149475098,0.7285714149475098,0.7285714149475098,0.7271428525447845,0.02511199475186398,179
